1.0  -7.32
1.0  -8.70
1.0  -9.75
1.0  6.97
1.0  1.50
-1.0  7.51
1.0  -6.25
1.0  -4.75
1.0  -1.26
1.0  -8.00
1.0  -4.91
1.0  4.91
1.0  5.83
1.0  -9.52
1.0  -0.32
1.0  9.81
1.0  -6.34
1.0  -1.58
1.0  5.66
-1.0  3.40
1.0  -5.24
1.0  -8.56
1.0  -2.55
1.0  0.41
-1.0  -1.87
1.0  -1.84
-1.0  1.68
-1.0  0.99
-1.0  6.49
1.0  -4.34
1.0  5.84
1.0  -2.65
1.0  -3.96
1.0  7.30
1.0  -0.85
-1.0  2.85
1.0  -1.31
-1.0  3.16
-1.0  -3.82
1.0  3.74
1.0  6.90
1.0  2.90
-1.0  2.82
1.0  -6.77
1.0  0.89
-1.0  1.17
-1.0  4.82
1.0  8.10
1.0  -1.56
1.0  -4.49
1.0  -1.22
1.0  7.96
1.0  7.08
1.0  -3.33
-1.0  5.66
1.0  -3.23
-1.0  -1.01
1.0  1.61
-1.0  6.86
1.0  7.03
1.0  8.12
1.0  8.82
-1.0  2.65
-1.0  6.44
1.0  -9.90
-1.0  -3.78
-1.0  -6.75
1.0  6.99
1.0  4.33
-1.0  1.54
1.0  2.26
1.0  -3.33
1.0  -1.05
1.0  5.28
1.0  2.83
1.0  -6.48
1.0  -2.09
1.0  -4.01
-1.0  6.01
1.0  2.34
1.0  -9.11
1.0  -1.75
1.0  -8.13
1.0  -6.14
1.0  5.46
1.0  3.01
1.0  2.95
1.0  6.23
1.0  1.94
1.0  0.53
1.0  0.35
1.0  9.37
1.0  -9.43
1.0  -4.28
1.0  2.17
1.0  -8.56
1.0  -8.69
1.0  6.04
-1.0  4.59
-1.0  8.04
